"","Species","Longitude","Latitude","optional"
"2:93","Populus_tremuloides",-105.75,32.7699999579675,TRUE
"2:94","Populus_tremuloides",-105.8,32.7799999579876,TRUE
"2:95","Populus_tremuloides",-105.79,32.8099999580478,TRUE
"2:96","Populus_tremuloides",-105.74,32.8099999580478,TRUE
"2:97","Populus_tremuloides",-105.7,32.8099999580478,TRUE
"2:98","Populus_tremuloides",-105.81,32.8499999581283,TRUE
"2:99","Populus_tremuloides",-105.73,32.8499999581283,TRUE
"2:100","Populus_tremuloides",-105.81,32.909999958249,TRUE
"2:101","Populus_tremuloides",-105.71,33.0399999585112,TRUE
"2:102","Populus_tremuloides",-107.88,33.1799999587944,TRUE
"2:103","Populus_tremuloides",-108.57,33.239999958916,TRUE
"2:104","Populus_tremuloides",-108.7,33.2799999589973,TRUE
"2:105","Populus_tremuloides",-108.64,33.2799999589973,TRUE
"2:106","Populus_tremuloides",-108.58,33.2799999589973,TRUE
"2:107","Populus_tremuloides",-108.58,33.3099999590582,TRUE
"2:108","Populus_tremuloides",-108.68,33.3199999590785,TRUE
"2:109","Populus_tremuloides",-108.8,33.3399999591192,TRUE
"2:110","Populus_tremuloides",-105.82,33.3499999591395,TRUE
"2:111","Populus_tremuloides",-105.76,33.3499999591396,TRUE
"2:112","Populus_tremuloides",-108.64,33.4099999592615,TRUE
"2:113","Populus_tremuloides",-108.3,33.5799999596079,TRUE
"2:114","Populus_tremuloides",-107.43,33.5899999596284,TRUE
"2:115","Populus_tremuloides",-109.42,33.5999999596487,TRUE
"2:116","Populus_tremuloides",-105.44,33.6099999596692,TRUE
"2:117","Populus_tremuloides",-105.37,33.62999995971,TRUE
"2:118","Populus_tremuloides",-109.34,33.6499999597508,TRUE
"2:119","Populus_tremuloides",-109.27,33.6499999597508,TRUE
"2:120","Populus_tremuloides",-107.43,33.649999959751,TRUE
"2:121","Populus_tremuloides",-109.37,33.6599999597713,TRUE
"2:122","Populus_tremuloides",-108.59,33.6799999598122,TRUE
"2:123","Populus_tremuloides",-109.65,33.7499999599554,TRUE
"2:124","Populus_tremuloides",-109.5,33.7999999600577,TRUE
"2:125","Populus_tremuloides",-109.12,33.7999999600576,TRUE
"2:126","Populus_tremuloides",-109.65,33.8299999601191,TRUE
"2:127","Populus_tremuloides",-109.59,33.8299999601191,TRUE
